envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
15387500,93000,15.01,45.7,28.2718,5.7662,0.1843,20.0239,0.0006,0.0009,0.7832,1.5127,0.0618,-0.2099,1.2707,0.8819,0.9387,-0.0081,0.0478,3.9062,17.1112
15475000,93500,84.85,85.79,26.9053,6.1586,0.1553,17.6666,0.0002,0.0025,0.5049,2.4171,0.0735,-0.2161,1.3032,1.227,0.9276,0.0381,-0.0256,3.1656,12.478
15550000,94000,22.72,62.18,24.1804,4.6993,0.155,17.0456,0.0004,0.0007,0.4432,1.8363,0.1018,-0.2165,1.2979,0.8452,1.0044,0.0237,-0.0294,3.0574,13.014
15637500,94500,87.68,92.9,28.3282,7.0439,0.1844,18.3299,0.0009,0.0019,0.9249,1.8423,0.0791,-0.1792,1.2779,0.8737,1.0157,-0.0126,-0.0145,3.1925,13.2939
15715000,95000,38.77,69.43,25.97,5.3308,0.1452,17.2923,0.0003,0.0033,0.8491,2.349,0.082,-0.2829,1.2675,0.8975,1.267,0.0111,0.0175,2.9298,9.6752
15795000,95500,50.86,83.99,26.9053,5.7367,0.1591,17.1369,0.0003,0.0081,1.2289,2.6354,0.0744,-0.2681,1.2921,0.9906,0.9019,0.0231,-0.0244,3.2678,15.4022
15870000,96000,30.82,96.53,30.8372,7.0818,0.16,20.0207,0.0002,0.0077,1.0585,2.5083,0.0724,-0.2277,1.4519,1.153,1.0919,0.0148,-0.0758,3.2554,12.5618
15952500,96500,64.1,85.52,30.1528,6.884,0.1735,19.3366,0.0004,0.0037,1.285,2.4696,0.1442,-0.2112,1.424,0.9442,1.1699,-0.0199,-0.0401,3.6202,10.4584
16032500,97000,53.96,80.7,28.2673,6.1145,0.1463,19.0102,0.0002,0.0027,1.3092,1.6842,0.1027,-0.2474,1.3586,0.7979,1.2239,-0.0065,0.0617,2.4301,10.0974
16117500,97500,79.89,86.17,25.7985,5.1423,0.1594,16.9317,0.0002,0.0038,0.8604,2.7006,0.0793,-0.2408,1.3944,0.943,1.215,0.0026,-0.0176,2.5776,8.2486
16197500,98000,55.57,67.3,26.7239,5.8476,0.1378,17.7289,0.0001,0.0196,0.8502,2.1398,0.052,-0.2373,1.5134,0.8304,1.2643,-0.0052,-0.0202,2.3922,9.8688
16280000,98500,76.43,114.13,24.4368,4.716,0.1307,16.3226,0.0008,0.0043,0.7129,2.5495,0.0332,-0.2032,1.3905,0.9119,1.3828,0.0685,-0.0275,2.9692,6.1036
16362500,99000,58.12,72.11,31.1435,7.7207,0.1949,19.116,0.0005,0.0053,1.1645,2.9418,0.1557,-0.2312,1.4576,1.198,1.1387,-0.0116,0.0393,3.6382,15.0684
16442500,99500,48.08,70.76,25.8824,5.4705,0.1441,16.1652,0.0002,0.0758,0.5826,3.4441,0.0834,-0.2422,1.4153,0.9158,1.0228,-0.0344,0.0578,3.3075,12.7894
16522500,100000,49.94,63.29,27.5791,5.983,0.1307,18.3953,0.0004,0.0117,0.6737,2.3844,0.055,-0.1953,1.479,0.8925,1.0622,-0.0048,-0.0225,2.9285,8.631
16597500,100500,20.79,37.12,29.2286,6.4151,0.1637,19.2592,0.0004,0.0088,0.846,2.5352,0.0936,-0.2267,1.5403,1.035,1.3334,0.0059,-0.0605,3.5323,6.9494
16672500,101000,21.9,42.0,28.564,6.3791,0.1565,18.7207,0.0003,0.0017,0.6706,2.6353,0.1078,-0.2357,1.3349,0.8912,1.1256,-0.0005,0.0837,3.6197,17.5384
16755000,101500,77.17,64.61,26.2408,5.5993,0.1852,17.381,0.0002,0.002,0.647,2.426,0.0543,-0.2392,1.4822,0.9771,1.5516,-0.0548,-0.0123,3.9055,6.4006
16835000,102000,51.96,83.48,27.0736,5.705,0.1578,17.7455,0.0008,0.0057,0.9203,2.5385,0.0698,-0.2331,1.4219,0.9483,1.2447,0.0077,0.0071,3.1082,10.5315
16910000,102500,25.78,46.15,25.6673,4.9513,0.4385,17.0657,0.0002,0.01,0.9307,2.2709,0.0705,-0.2174,1.3542,0.9879,1.1223,0.059,0.0698,2.8668,16.6642
16985000,103000,25.6,41.13,29.4607,6.5968,0.1474,18.9235,0.0005,0.0065,1.3586,2.4275,0.1388,-0.2514,1.3358,0.9595,1.1801,0.0269,-0.0287,3.5748,11.3807
17065000,103500,65.02,73.21,27.1085,6.3751,0.1307,17.6615,0.0003,0.0218,0.4501,2.4689,0.1031,-0.1665,1.309,0.9543,1.0575,-0.0109,-0.0548,3.362,12.761
17145000,104000,63.09,57.35,28.9315,7.1638,0.134,18.4437,0.0004,0.0179,0.8497,2.3219,0.06,-0.2347,1.3765,1.087,1.0004,-0.0,-0.0291,3.5041,11.413
17227500,104500,95.55,71.11,27.8775,6.3253,0.1481,18.4224,0.0005,0.0117,0.7166,2.2529,0.1177,-0.2808,1.2882,1.0184,1.2565,0.0036,0.0484,3.9494,7.3087
17312500,105000,71.88,86.22,29.9803,7.7625,0.1955,19.8538,0.0077,0.0272,0.6768,1.4568,0.0991,-0.2427,1.3296,0.9357,1.2851,-0.0195,0.0697,3.4155,6.2108
17397500,105500,74.1,66.32,27.2371,7.1188,0.1628,17.5507,0.0049,0.0137,0.3456,2.0405,0.0543,-0.262,1.1844,0.9705,1.1022,-0.0174,0.0526,4.7959,17.1856
17480000,106000,62.19,86.15,33.0515,7.4962,0.1456,23.1969,0.0034,0.0675,0.734,1.4079,0.0428,-0.2234,1.377,1.1786,1.1529,0.0399,-0.0748,4.9941,11.4324
17555000,106500,15.64,43.06,31.6861,8.826,0.1444,20.6864,0.002,0.0116,0.9003,1.1154,0.1111,-0.2209,1.2256,0.8982,0.9589,-0.0285,0.1291,4.2614,16.7812
17637500,107000,63.1,71.84,27.3043,7.0811,0.1568,18.1446,0.0015,0.0189,0.3931,1.5084,0.0452,-0.229,1.239,0.7884,0.9369,-0.0421,-0.052,4.0211,15.42
17717500,107500,45.4,73.24,28.3536,6.8436,0.1503,18.9175,0.0023,0.0161,0.6649,1.7589,0.0863,-0.2595,1.3339,0.9603,1.1244,0.0368,0.0656,3.4136,15.3673
17795000,108000,36.43,68.81,28.864,7.23,0.1708,18.5512,0.0065,0.0092,0.9447,1.9516,0.1154,-0.2131,1.3516,0.8749,1.359,-0.0417,-0.0216,3.8125,13.1581
17872500,108500,35.93,48.88,31.046,8.3156,0.1357,20.1971,0.0046,0.0082,0.8354,1.5494,0.1033,-0.2476,1.2972,0.8906,1.1467,-0.0049,-0.1186,4.2758,12.9548
17947500,109000,61.72,45.53,26.9912,7.4129,0.1482,17.6715,0.0005,0.0053,0.4257,1.327,0.1028,-0.2772,1.294,0.8978,1.4598,0.0529,-0.0749,3.6345,6.2473
18027500,109500,48.09,32.21,27.2303,6.9168,0.1411,18.3217,0.0018,0.0074,0.4524,1.3892,0.0611,-0.2742,1.22,1.0014,1.3045,0.0242,0.0251,4.9139,6.3412
18115000,110000,83.14,72.83,27.0215,6.1502,0.1725,18.709,0.0007,0.0032,0.5496,1.4361,0.071,-0.2324,1.3292,0.8588,1.1251,-0.039,-0.0455,4.6575,11.8164
18197500,110500,68.34,70.27,26.7793,5.9419,0.1753,18.8376,0.0014,0.0035,0.541,1.2786,0.0307,-0.2484,1.2896,0.9796,1.3565,0.054,0.0063,4.6275,8.8942
